diam	pitch	short_name	stats_detail_file	full_name	side_pic	front_pic
11.0	7.0	mae	mae_11x7_static_rd0577.txt	mae_11x7	mae_11x7-side.png	mae_11x7-front.png
9.0	6.0	mae	mae_9x6_static_kj1017.txt	mae_9x6	mae_9x6-side.png	mae_9x6-front.png
10.0	6.0	magf	magf_10x6_static_pg0728.txt	magf_10x6	magf_10x6-side.png	magf_10x6-front.png
10.0	8.0	magf	magf_10x8_static_pg0719.txt	magf_10x8	magf_10x8-side.png	magf_10x8-front.png
11.0	4.0	magf	magf_11x4_static_3021tg.txt	magf_11x4		
11.0	5.0	magf	magf_11x5_static_3027tg.txt	magf_11x5		
11.0	8.0	magf	magf_11x8_static_3033tg.txt	magf_11x8		
7.0	4.0	magf	magf_7x4_static_2911cm.txt	magf_7x4		
8.0	4.0	magf	magf_8x4_static_2891rd.txt	magf_8x4		
9.0	4.0	magf	magf_9x4_static_2586rd.txt	magf_9x4		
9.0	5.0	magf	magf_9x5_static_2587rd.txt	magf_9x5		
9.0	7.0	magf	magf_9x7_static_2590rd.txt	magf_9x7		
10.0	5.0	mas	mas_10x5_static_kt0745.txt	mas_10x5	mas_10x5-side.png	mas_10x5-front.png
10.0	7.0	mas	mas_10x7_static_kt0737.txt	mas_10x7	mas_10x7-side.png	mas_10x7-front.png
11.0	6.0	mas	mas_11x6_static_kt0696.txt	mas_11x6	mas_11x6-side.png	mas_11x6-front.png
11.0	7.0	mas	mas_11x7_static_jb0680.txt	mas_11x7	mas_11x7-side.png	mas_11x7-front.png
11.0	8.0	mas	mas_11x8_static_rd0672.txt	mas_11x8	mas_11x8-side.png	mas_11x8-front.png
9.0	5.0	mas	mas_9x5_static_pg0900.txt	mas_9x5	mas_9x5-side.png	mas_9x5-front.png
9.0	6.0	mas	mas_9x6_static_2634rd.txt	mas_9x6		
9.0	7.0	mas	mas_9x7_static_pg0907.txt	mas_9x7	mas_9x7-side.png	mas_9x7-front.png
11.0	10.0	ma	ma_11x10_static_3050rd.txt	ma_11x10		
11.0	4.0	ma	ma_11x4_static_rd0593.txt	ma_11x4	ma_11x4-side.png	ma_11x4-front.png
11.0	6.0	ma	ma_11x6_static_kt0689.txt	ma_11x6	ma_11x6-side.png	ma_11x6-front.png
11.0	7.0	ma	ma_11x7_static_rd0586.txt	ma_11x7	ma_11x7-side.png	ma_11x7-front.png
11.0	8.0	ma	ma_11x8_static_pg0598.txt	ma_11x8	ma_11x8-side.png	ma_11x8-front.png
11.0	9.0	ma	ma_11x9_static_3041ja.txt	ma_11x9		
9.0	4.0	ma	ma_9x4_static_rd0894.txt	ma_9x4	ma_9x4-side.png	ma_9x4-front.png
9.0	6.0	ma	ma_9x6_static_rd0886.txt	ma_9x6	ma_9x6-side.png	ma_9x6-front.png
9.0	8.0	ma	ma_9x8_static_2624rd.txt	ma_9x8		
4.3	3.5	mit	mit_4.3x3.5_static_0575rd.txt	mit_4.3x3.5		
5.0	4.0	mit	mit_5x4_static_0362rd.txt	mit_5x4		
3.2	2.2	mi	mi_3.2x2.2_static_0519rd.txt	mi_3.2x2.2	mi_3.2x2.2-side.png	mi_3.2x2.2-front.png
4.0	2.7	mi	mi_4x2.7_static_0564rd.txt	mi_4x2.7	mi_4x2.7-side.png	mi_4x2.7-front.png
5.0	3.5	mi	mi_5x3.5_static_0368rd.txt	mi_5x3.5	mi_5x3.5-side.png	mi_5x3.5-front.png
2.56	0.79	pltriturbo	pltriturbo_2.56x0.79_static_0566rd.txt	pltriturbo_2.56x0.79		
11.0	4.0	rusp	rusp_11x4_static_2952os.txt	rusp_11x4		
11.0	7.0	zin	zin_11x7_static_3008rd.txt	zin_11x7		
9.0	6.0	zin	zin_9x6_static_2593rd.txt	zin_9x6		
